id,city,was_crawled,was_analyzed,channel_title_1,channel_description_1,URL_1,channel_title_2,channel_description_2,URL_2,channel_title_3,channel_description_3,URL_3,channel_title_4,channel_description_4,URL_4,channel_title_5,channel_description_5,URL_5,channel_title_6,channel_description_6,URL_6,channel_title_7,channel_description_7,URL_7,channel_title_8,channel_description_8,URL_8
AT00007441,greensboro,yes,yes,Right Side Broadcasting Network,Thank you for visiting the official Right Side Broadcasting Network (RSBN) YouTube page! We are the #1 channel for LIVE and ...,https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ,,,,,,,,,,,,,,,,,,,,,
AT00007442,greenville,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007443,greenwood,yes,yes,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",https://www.youtube.com/channel/UCKr9me5QJuC173tnPh_4k9g,Right Side Broadcasting Network,Thank you for visiting the official Right Side Broadcasting Network (RSBN) YouTube page! We are the #1 channel for LIVE and ...,https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ,The Warwick Valley Dispatch,"The Warwick Valley Dispatch, Warwick's hometown weekly newspaper, has served the Town of Warwick since its founding in ...",https://www.youtube.com/channel/UC0eG_0zejJ8aRMyqVVwWknQ,,,,,,,,,,,,,,,
AT00007445,gretna,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007447,groveland,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007448,gulf breeze,yes,yes,Gulf Breeze Elementary School Music,This is the official YouTube channel for the Gulf Breeze Elementary School Music Department. Music resources and student ...,https://www.youtube.com/channel/UC5zPH59K5DZo_jV15f8KEJg,Living on the Florida Gulf Coast,"Moving to Florida Gulf Coast? Let's Chat! ⬇️   So you're thinking of moving to the Florida Gulf Coast? Well, we are your Gulf ...",https://www.youtube.com/channel/UCtBZ2Ubmr6IC5CEizsfAppw,,,,,,,,,,,,,,,,,,
AT00007450,gulfport,yes,yes,Sunshine Bay Life - Tampa Bay Living & Real Estate,Welcome! I am Kent Rodahaver - Award-Winning Tampa Bay Area REALTOR®. Thank you for tuning in to Sunshine Bay Life!,https://www.youtube.com/channel/UCt63k5hMsxSpzWgqiMiJ-9w,,,,,,,,,,,,,,,,,,,,,
AT00007451,gulf stream,yes,yes,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",https://www.youtube.com/channel/UC0bCUnP5RrkJZUtd3bBz6Kw,Fourteenth Judicial Circuit of Florida,"YouTube Channel for the Fourteenth Judicial Circuit of Florida. Our Vision: Justice in Florida will be Accessible, Fair, Effective, ...",https://www.youtube.com/channel/UCZKMHi6_-072bacbDowUqpA,,,,,,,,,,,,,,,,,,
AT00007453,haines city,yes,yes,St. Ann Catholic Church Haines City,"We believe, as a community, that each one of us has a unique contribution to make in the form of our time, God-given talents, and ...",https://www.youtube.com/channel/UCW_uu-xANpNbitNi1c2E9kQ,City of Haines City,"The Official YouTube channel for Haines City, FL. Visit www.HainesCity.com.",https://www.youtube.com/channel/UC89rQD66ctf4q7S8MObOtdA,Landmark Baptist Church,"Welcome to the official YouTube channel of Landmark Baptist Church in Haines City, Florida. This channel is for livestreaming our ...",https://www.youtube.com/channel/UC-Ha1sjLAZ-oI6TWZzVLiEg,"Eastside Elementary Haines City, Florida",,https://www.youtube.com/channel/UCB8Shtl3x2Q0UTfWxgBCOWA,,,,,,,,,,,,
AT00007454,hallandale beach,yes,yes,City of Hallandale Beach,This is the official City of Hallandale Beach Government Channel. The channel includes videos produced by the City of ...,https://www.youtube.com/channel/UCy3aaJDn0RvmrJpD474Aj4Q,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",https://www.youtube.com/channel/UCVtTjaaajzCaWsMxHBmTIsA,Hallandale Beach Chamber of Commerce,Our Vision: To promote and offer outreach within the business community with the aim of fostering new growth and continuing ...,https://www.youtube.com/channel/UCWfMhEwh8zR738dvhBUeR8A,,,,,,,,,,,,,,,
AT00007455,hampton,yes,yes,Right Side Broadcasting Network,Thank you for visiting the official Right Side Broadcasting Network (RSBN) YouTube page! We are the #1 channel for LIVE and ...,https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ,,,,,,,,,,,,,,,,,,,,,
AT00007463,havana,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007464,haverhill,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007465,hawthorne,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007470,hialeah,yes,yes,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",https://www.youtube.com/channel/UCSCzXpZ82FfA5udLY6WynCQ,Town of Davie TV,"This is the official ""YouTube"" home of the Town of Davie, Florida, government. Our Public Information Office is responsible for the ...",https://www.youtube.com/channel/UClAfziZQ5Gra8DrGRzyq37w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,cityofhialeah,Official City of Hialeah youtube Channel.,https://www.youtube.com/channel/UCI3p9c__3qlEFi4iaQTOQaw,"Las Calles de Hialeah, The Streets of Hialeah","conoscamos la ciudad que progresa en sur de la florida de los estados unidos,Do we know the city that is progressing in South ...",https://www.youtube.com/channel/UCMps-CGbD3-A-gBdgx5csOw,St. Barbara Catholic Church - DN,Dedicated channel for the streaming broadcast of the mass and other events that take place at St. Barbara parish in the city of ...,https://www.youtube.com/channel/UChJ3i7t9Jqzl9HiHGxOHWcQ,,,,,,
AT00007472,highland beach,yes,yes,Town of Highland Beach,,https://www.youtube.com/channel/UCTAGr8WCa44Y3Q2Bb6UN2mw,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,City of Deerfield Beach,"This is the official video channel of the City of Deerfield Beach, Florida, government. The mission of the Office of Public Affairs and ...",https://www.youtube.com/channel/UCGOxU-8iNOeoG3a337shXoA,"Hiland Park Baptist Church of Panama City, FL",,https://www.youtube.com/channel/UC_fv76e-azht11m4LwbUQ9Q,,,,,,,,,
AT00007474,highland park village,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007476,high springs,yes,yes,Coral Springs,"Founded on July 10, 1963, Coral Springs has grown from a ""City in the Country"" to a vibrant, family-friendly City that has ...",https://www.youtube.com/channel/UCpJTI3iON45k4Lzx3c66u_w,"City of Gainesville, Florida",The latest videos from the City of Gainesville's Communications Office.,https://www.youtube.com/channel/UCPRBTIJPBe60dKAtgCHYwpQ,,,,,,,,,,,,,,,,,,
AT00007477,hillcrest heights,yes,yes,Polk County Fire Rescue Headquarters,Polk County Fire Rescue (PCFR) is a division of the Polk County Board of County Commissioners. PCFR provides fire ...,https://www.youtube.com/channel/UCgIiradKIQvysh6DZI7e2WQ,City of Auburndale,"The purpose of this Youtube Channel is to enhance customer service, outreach and increase citizen involvement with the ...",https://www.youtube.com/channel/UC1hGizu74_ZR3wpjxbzrfCA,,,,,,,,,,,,,,,,,,
AT00007478,hilliard,yes,yes,"Town of Hilliard, FL",,https://www.youtube.com/channel/UCEb8N8HqycJj2uxYPeSWq4A,Nassau County,Official Nassau County Florida YouTube Channel.,https://www.youtube.com/channel/UCPcL9uy37-oy_iX1ka_fW8Q,,,,,,,,,,,,,,,,,,
AT00007480,hillsboro beach,yes,yes,Hillsborough County,"Welcome to Hillsborough County's YouTube channel. Your one stop shop for information regarding programs, services, and ...",https://www.youtube.com/channel/UC-ltrT7T2PDRdEEoU5NtOEg,City of Deerfield Beach,"This is the official video channel of the City of Deerfield Beach, Florida, government. The mission of the Office of Public Affairs and ...",https://www.youtube.com/channel/UCGOxU-8iNOeoG3a337shXoA,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,,,,,,,,,,,,,,,
AT00007486,holly hill,yes,yes,Volusia County Towing,Volusia County Towing located in holly hill is nestled in the Center of Volusia County Florida just 1 Mile from the World Center of ...,https://www.youtube.com/channel/UCBcmUDq5_b_P-cjxKLae-cQ,Holly International Airport,"Welcome to the official channel of Holly International Airport! This channel is focused around the airport, and the neighboring town ...",https://www.youtube.com/channel/UCSG4HcOb1npxbejSxedUmCQ,,,,,,,,,,,,,,,,,,
AT00007487,hollywood,yes,yes,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",https://www.youtube.com/channel/UCVtTjaaajzCaWsMxHBmTIsA,Hollywood City Mission Church,"This is the official YouTube page of Hollywood City Mission Church in Hollywood, Florida. We are 'A Church With A Heart For All ...",https://www.youtube.com/channel/UCJkzRbeEYuD7L4sjfD3P3jw,"Josh Levy, Mayor of Hollywood, Florida","Josh Levy, Mayor of Hollywood, Florida.",https://www.youtube.com/channel/UCIOYdk4b_YREtFv46A33Ujg,New Hope Missionary Baptist Church,"The City of Hope, New Hope Missionary Baptist Church located in the heart of Hollywood, Florida. Rev Dr. Jacques C. Wright ...",https://www.youtube.com/channel/UCdr-fxpduBLIMrGYO6J7dxQ,,,,,,,,,
AT00007488,holmes beach,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007489,homeland,yes,yes,Eyewitness News ABC7NY,Hi! We're in New York City and hope you love us on YouTube as much as you do on television! FAQs Q: Where can I send a news ...,https://www.youtube.com/channel/UCrlIS7z20CnVaCrMvdkig_g,,,,,,,,,,,,,,,,,,,,,
AT00007490,homestead,yes,yes,TheCityofHomestead,City of Homestead Meetings.,https://www.youtube.com/channel/UCgtCgXFiFEzGd845Hyzye5g,CityofHomestead,"Located just north of the laid-back Florida Keys and South of bustling Miami, Homestead offers the perfect blend of both worlds.",https://www.youtube.com/channel/UCxT1AraCLhYstB4UBOjgz_A,Relay For Life of Homestead & Florida City,,https://www.youtube.com/channel/UC-JnLxUGvbftVx8vII_Vkgg,,,,,,,,,,,,,,,
AT00007492,homosassa,yes,yes,Florida spearfishing channel,Welcome to my channel! My name is Joshua pages and this is Florida Spearfishing channel. I'm located in Homosassa Florida ...,https://www.youtube.com/channel/UC_9-1eBJ2ENRWUFqUzcO5PA,crystalriverflorida,Crystal River Florida is a small Gulf Coast town in Central Florida. The 2010 recorded people population was only 3108. However ...,https://www.youtube.com/channel/UC4wQpu4nER3WJOYQWjia0Jg,,,,,,,,,,,,,,,,,,
AT00007493,homosassa springs,yes,yes,Living in Citrus County FL,"Living in Citrus County FL. Never heard of Citrus County, Florida? It is definitely one Florida's hidden little gems. Up coming ...",https://www.youtube.com/channel/UC17qX_n5mGdn8tTiReiU8GA,crystalriverflorida,Crystal River Florida is a small Gulf Coast town in Central Florida. The 2010 recorded people population was only 3108. However ...,https://www.youtube.com/channel/UC4wQpu4nER3WJOYQWjia0Jg,,,,,,,,,,,,,,,,,,
AT00007495,horseshoe beach,yes,yes,Virtual Railfan,"Official channel of Virtual Railfan, Inc. Virtual Railfan is the premiere provider for live train cams all over the United States ...",https://www.youtube.com/channel/UCOIkT9bq-1N2BvrsBjhNlag,,,,,,,,,,,,,,,,,,,,,
AT00007497,howey-in-the-hills,yes,yes,LakeFront TV,Lake Front TV is the 24/7 television channel based in Lake County. . We provide quality community programming profiling the best ...,https://www.youtube.com/channel/UCxoj144x33hmdvwm2Upiyhg,,,,,,,,,,,,,,,,,,,,,
AT00007501,hypoluxo,yes,yes,City of Boynton Beach,,https://www.youtube.com/channel/UCHxHJQCYf067_qYAmq9lKcw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",https://www.youtube.com/channel/UC0bCUnP5RrkJZUtd3bBz6Kw,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,,,,,,,,,,,,,,,
AT00007503,indialantic,yes,yes,City of Cocoa Beach - Government,"IMPORTANT NOTICE UNDER FLORIDA'S PUBLIC RECORDS LAW: Please be aware that under Chapter 119, Florida Statutes, ...",https://www.youtube.com/channel/UCzVNSjCc0HnwzvaDCtpAj5A,1 Call Real Estate,"1 Call Real Estate is a real estate company located on the Space Coast of Florida. Space Coast Service Area: Viera East, FL ...",https://www.youtube.com/channel/UCjZFehNdDJDkkLqmUV5mbFQ,Glad Eyecare & Surgery Center,"Glad EyeCare and Surgery Center is located in Palm Bay Florida and serves Palm Bay area, Brevard County, City of Palm Bay, ...",https://www.youtube.com/channel/UCrTjmbvLkMjBIZXbIbJVzyA,,,,,,,,,,,,,,,
AT00007504,indian creek village,yes,yes,Town of Davie TV,"This is the official ""YouTube"" home of the Town of Davie, Florida, government. Our Public Information Office is responsible for the ...",https://www.youtube.com/channel/UClAfziZQ5Gra8DrGRzyq37w,City of Coral Gables,This is a government access channel of the City of Coral Gables. It was created to provide information about government ...,https://www.youtube.com/channel/UCD5_-pGp2NnbjtB20u3hP6A,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,,,,,,,,,,,,,,,
AT00007505,indian harbour beach,yes,yes,City of Cocoa Beach - Government,"IMPORTANT NOTICE UNDER FLORIDA'S PUBLIC RECORDS LAW: Please be aware that under Chapter 119, Florida Statutes, ...",https://www.youtube.com/channel/UCzVNSjCc0HnwzvaDCtpAj5A,,,,,,,,,,,,,,,,,,,,,
AT00007507,indian river shores,yes,yes,"Town of Indian River Shores, Florida",,https://www.youtube.com/channel/UCqGu2U57LVpBbZzL62z7qjQ,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",https://www.youtube.com/channel/UC0bCUnP5RrkJZUtd3bBz6Kw,Vero Beach Florida,Vero Beach Florida | Vero Beach is a beachside city in Indian River County on the Treasure Coast on the East Coast of Florida.,https://www.youtube.com/channel/UCPAZgHKw2IfPy0ESjpK35EA,"The Urban Team- Treasure Coast, FL Real Estate",The Urban Team is here to help you with all of your real estate needs on the Treasure Coast of sunny south Florida. We cover ...,https://www.youtube.com/channel/UCGf0z44OJn_sis1Xsb3SDbg,,,,,,,,,,,,
AT00007508,indian rocks beach,yes,yes,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",https://www.youtube.com/channel/UCKr9me5QJuC173tnPh_4k9g,City of Tampa,"Tampa, home to over 340000 residents, is a vibrant, dynamic and beautiful city. Located on the banks of the Hillsborough River, ...",https://www.youtube.com/channel/UCx4-4RHo_bhTMQJNh6Du0AA,,,,,,,,,,,,,,,,,,
AT00007509,indian shores,yes,yes,"Town of Indian River Shores, Florida",,https://www.youtube.com/channel/UCqGu2U57LVpBbZzL62z7qjQ,City of Indian Harbour Beach,,https://www.youtube.com/channel/UC8GoKqUkPXtKtJ84wHFy6lg,Vero Beach Florida,Vero Beach Florida | Vero Beach is a beachside city in Indian River County on the Treasure Coast on the East Coast of Florida.,https://www.youtube.com/channel/UCPAZgHKw2IfPy0ESjpK35EA,Olympus Executive Realty® Tampa,"OLYMPUS EXECUTIVE REALTY, HOME OF TOP PRODUCERS® | 100% Commission Real Estate OLYMPUS EXECUTIVE ...",https://www.youtube.com/channel/UC0_0XZvkUUN3vQXEvRKiKtA,,,,,,,,,,,,
AT00007510,indiantown,yes,yes,Indiantown Evangelical Church of the Nazarene,Official channel for Indiantown Evangelical Church of the Nazarene. Hosted by Senior Pastor Rev. Dr. Pascal Permis Sr. Sunday ...,https://www.youtube.com/channel/UC4XAFoFpYgWRI4hOpMyGA9w,Indiantown PIO,"The Village of Indiantown, Florida is a rural municipality on Florida's Treasure Coast that was incorporated on December 31, 2017 ...",https://www.youtube.com/channel/UCZa6hIdz5iVXiOnR5TZHkFQ,Town of Sewall's Point,"Sewall's Point is a town located on the peninsula of the same name in Martin County, Florida, United States.",https://www.youtube.com/channel/UCzeRE7brAko8MtjFpHhbLOg,,,,,,,,,,,,,,,
AT00007511,inglis,yes,yes,Levy County Florida Boat Ramps,"Boat ramps along salt & brackish water in Levy County Florida. This includes the city of Cedar Key, Yankeetown and Inglis.",https://www.youtube.com/channel/UCxtvri-ztRUzmjPnMGAMZoA,,,,,,,,,,,,,,,,,,,,,
AT00007512,interlachen,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007513,inverness,yes,yes,Inverness Florida,"Inverness, Florida hosts over 30 events and festivals each year. From the Great American Cooterfest to the Inverness Grand Prix, ...",https://www.youtube.com/channel/UCMPMgtRjP1RAW8InFJJwp6A,City of Inverness,"Welcome to our official YouTube Channel for the City of Inverness Florida,Government! ✨ We are committed to community ...",https://www.youtube.com/channel/UCAOqEUmhBU_ZOccXPFs2mfA,AccessCitrusCounty,"Access Citrus County provides listings for local businesses, information about local events and provides potential visitors an ...",https://www.youtube.com/channel/UC67Qr93boTFqUFr6r_vnekw,,,,,,,,,,,,,,,
AT00007517,iona,yes,yes,Cape TV,CapeTV is the City of Cape Coral's government information channel carried on Comcast Channel 98 and CenturyLink Prism ...,https://www.youtube.com/channel/UCN4YHY9Svp-Hn-qoPNiVXCw,Town Of fort Myers Beach,,https://www.youtube.com/channel/UCpL5tRq3FnhCEbox9dMRjKQ,,,,,,,,,,,,,,,,,,
AT00007518,"islamorada, village of islands village",yes,yes,Islamorada Village of Islands,"Islamorada, Village of Islands is located in the beautiful Florida Keys. The boundaries are from approximately Mile Marker (MM) ...",https://www.youtube.com/channel/UCwsnMjXm2bBr8xtG22ilx5g,,,,,,,,,,,,,,,,,,,,,
AT00007523,jacksonville,yes,yes,"City of Jacksonville, Florida","Official YouTube page for the City of Jacksonville, Florida.",https://www.youtube.com/channel/UCDz1-m1rzglGoYCHG-yTLaA,City of Jacksonville Beach,The official City of Jacksonville Beach YouTube page. This page is not monitored at all times. DO NOT use this forum to report ...,https://www.youtube.com/channel/UCBvNLjCCZtu9PWDV41cR6-Q,,,,,,,,,,,,,,,,,,
AT00007524,jacksonville beach,yes,yes,City of Jacksonville Beach,The official City of Jacksonville Beach YouTube page. This page is not monitored at all times. DO NOT use this forum to report ...,https://www.youtube.com/channel/UCBvNLjCCZtu9PWDV41cR6-Q,Scenic Jax,Relaxing virtual driving videos that explore the beautiful city of Jacksonville Florida.,https://www.youtube.com/channel/UCVcGxmpEY7TNUeXCYpEu0PQ,,,,,,,,,,,,,,,,,,
AT00007525,jacob,yes,yes,Right Side Broadcasting Network,Thank you for visiting the official Right Side Broadcasting Network (RSBN) YouTube page! We are the #1 channel for LIVE and ...,https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ,,,,,,,,,,,,,,,,,,,,,
AT00007528,jasper,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007529,jay,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007530,jennings,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007531,jensen beach,yes,yes,Town of Sewall's Point,"Sewall's Point is a town located on the peninsula of the same name in Martin County, Florida, United States.",https://www.youtube.com/channel/UCzeRE7brAko8MtjFpHhbLOg,WPB-TV,Welcome to the City of West Palm Beach's official YouTube channel. We broadcast live and prerecorded city meetings and videos ...,https://www.youtube.com/channel/UC8I5opEq1KM8XVH3Rervmkw,,,,,,,,,,,,,,,,,,
AT00007533,juno beach,yes,yes,Town of Juno Beach,Town of Juno Beach Florida.,https://www.youtube.com/channel/UC9Oj_agYn_VoXEnPhdB4Cxw,,,,,,,,,,,,,,,,,,,,,
AT00007535,jupiter,yes,yes,Town of Jupiter,"The official YouTube channel for the Town of Jupiter (Municipal Government) Incorporated February 9, 1925, the Town of Jupiter ...",https://www.youtube.com/channel/UCq0nFboeoaOeRMoMLW6I_ew,Discover Jupiter Florida,"Welcome to Jupiter, Florida—a captivating coastal town that offers a perfect blend of natural beauty, outdoor adventures, and ...",https://www.youtube.com/channel/UCM7Go5V64WDtaP0MYYiNWKg,,,,,,,,,,,,,,,,,,
AT00007543,kenneth,yes,yes,Town of Kenneth City,"Kenneth City is a town in southern Pinellas County, Florida, between the cities of St. Petersburg and Pinellas Park, with a ...",https://www.youtube.com/channel/UCYRywTfSbAWyZvzRLviQhVA,Kenneth City Police,"The Kenneth City Police Department is a law enforcement agency serving the town of Kenneth City, Florida. It is our Mission to ...",https://www.youtube.com/channel/UC0j-ydOLyLOUClDvzsWMt0Q,"Wat Lao Buddha Phavanaram, Kenneth City Fl",,https://www.youtube.com/channel/UCxlc5AdFg702-3Elq_ebReg,FloridaRepTheatre,Florida Repertory Theatre is a fully professional regional theatre company in the heart of the Fort Myers River District. Florida Rep ...,https://www.youtube.com/channel/UCCYKyXDNMmK2fjwgPNfjrsg,,,,,,,,,,,,
AT00007546,key biscayne village,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007547,key colony beach,yes,yes,"Key Colony Beach, Florida Keys",Relax!! You're Home Now!! Thanks for visiting Key Colony Beach. Videos include promos and recaps of events organized by the ...,https://www.youtube.com/channel/UCM35DSyrNEBHAX-hGohYevA,,,,,,,,,,,,,,,,,,,,,
AT00007549,keystone,yes,yes,City of Keystone Heights,,https://www.youtube.com/channel/UC6xiXNQi83y46ActCqxwnVA,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",https://www.youtube.com/channel/UCKr9me5QJuC173tnPh_4k9g,Tarpon Springs City Hall,"The official government You Tube channel for the City of Tarpon Springs, Florida.",https://www.youtube.com/channel/UCT6_SxI7RxFrdJLoHi-02ag,"City of Treasure Island, FL (Official Page)","Treasure Island, located along the Gulf of Mexico, is home to white sandy beaches, pristine waters, hotels, restaurants and ...",https://www.youtube.com/channel/UCU5ocMcwbaVkK5RgaKIZK_w,,,,,,,,,,,,
AT00007552,key west,yes,yes,Living in Key West Florida,"This channel is about living in Key West Florida, moving to Key West Florida, and relocating to Key West Florida. I also cover living ...",https://www.youtube.com/channel/UCqz0abLTPlMKw-NpK0fRlUg,Historic Key West Inns : Key West Hotels,"This channel is devoted to http://www.historickeywestinns.com/ We are a collection of six beautiful, boutique hotels in the heart of ...",https://www.youtube.com/channel/UCoypN8CpLofEYF2aklBLcOw,,,,,,,,,,,,,,,,,,
AT00007554,kissimmee,yes,yes,City of Kissimmee,"Welcome to the offical YouTube account for the City of Kissimmee, Florida. The City of Kissimmee, a municipality governed by five ...",https://www.youtube.com/channel/UC7F24dkT2khMusOdor0vy0g,Kissimmee City Mission Church,"This is the official YouTube page of Kissimmee City Mission Church located in Kissimmee, Florida. Kissimmee City Mission ...",https://www.youtube.com/channel/UCkbxYqurvdn5f1MeydDONkA,,,,,,,,,,,,,,,,,,
AT00007555,labelle,yes,yes,LaBelle Downtown Revitalization Corporation,"Old Florida is not gone, it is rooted in the heart of Southwest Florida in beautiful LaBelle. Explore our Downtown LaBelle nestled ...",https://www.youtube.com/channel/UC7LnJbQ5-hRxKLdpXiNFvuA,,,,,,,,,,,,,,,,,,,,,
AT00007558,lady lake,yes,yes,Town of Lady Lake,Lady Lake is a Florida town located within the fastest growing metropolitan area in the country.,https://www.youtube.com/channel/UCKV4I12UQ56fjccOmg9C_nw,LakeFront TV,Lake Front TV is the 24/7 television channel based in Lake County. . We provide quality community programming profiling the best ...,https://www.youtube.com/channel/UCxoj144x33hmdvwm2Upiyhg,,,,,,,,,,,,,,,,,,
AT00007560,lake alfred,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007562,lake buena vista,yes,yes,Lake Buena Vista Resort Village & Spa,"Welcome to Lake Buena Vista Resort Village & Spa Whether you're planning a family vacation or a group retreat, Lake Buena ...",https://www.youtube.com/channel/UCPdrHqCyLoe6wDo8bXxOXbw,LIVING IN THE VILLAGES FLORIDA,"Are you wondering what it is like to live The Villages, Florida? Well, this is the channel you need! We absolutely love this town, ...",https://www.youtube.com/channel/UCnDFH8sOGz653cess4ub-aQ,,,,,,,,,,,,,,,,,,
AT00007564,lake butler,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007565,lake city,yes,yes,"City of Crescent City, Florida","Crescent City, FL is located between Two bodies of water, Crescent Lake lies to the east of the town and Lake Stella lies to the ...",https://www.youtube.com/channel/UCak1_v7UFM8nqIviX53nzaA,GoUSA TV,"Introducing GoUSA TV. The premier travel entertainment channel, available at your fingertips with no subscription, no fees and no ...",https://www.youtube.com/channel/UCC04XeCZR9x2JC-3m9GAA9Q,City of Lake City,,https://www.youtube.com/channel/UC28Eyfa2Uogc-8VTWqafG3w,Police Videos Lake City Florida,Videos featuring the lessons learned and good work of the Lake City Florida Police and the Columbia County Florida Sherriff.,https://www.youtube.com/channel/UCHbcWwqPWW1ZMbBRIg4f87Q,,,,,,,,,,,,
AT00007566,lake clarke shores,yes,yes,Town of LCS,"Welcome to the Official YouTube channel for the Town of Lake Clarke Shores, Florida. Visit TownofLCS on the web, Facebook, ...",https://www.youtube.com/channel/UCXyjM0vOPeUiJ5US3YDFvZg,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",https://www.youtube.com/channel/UC0bCUnP5RrkJZUtd3bBz6Kw,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,City of Boynton Beach,,https://www.youtube.com/channel/UCHxHJQCYf067_qYAmq9lKcw,,,,,,,,,,,,
AT00007567,lake hamilton,yes,yes,Polk County Fire Rescue Headquarters,Polk County Fire Rescue (PCFR) is a division of the Polk County Board of County Commissioners. PCFR provides fire ...,https://www.youtube.com/channel/UCgIiradKIQvysh6DZI7e2WQ,"North Florida Professional Services, Inc.",,https://www.youtube.com/channel/UCUqFmlvs-OZvEbPi2_6LyYQ,,,,,,,,,,,,,,,,,,
AT00007570,lake helen,yes,yes,City of Lake Helen,,https://www.youtube.com/channel/UCRXw7W1WYEe-5WfScvqLmiQ,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",https://www.youtube.com/channel/UCrOGg6n2Qjw6yujcrwc0Z3g,,,,,,,,,,,,,,,,,,
AT00007572,lakeland,yes,yes,Cypress Lakes Village 55+ Community,"Cypress Lakes Village is a 55+ Cove Community located in the vibrant Central Florida city of Lakeland, which is positioned ...",https://www.youtube.com/channel/UCCnKA8sO4bbVEE2A64wBFmg,LakelandGov,"Welcome to the official YouTube Channel for the City of Lakeland, Florida. Visit lakelandgov.net to learn more about our beautiful ...",https://www.youtube.com/channel/UCuvsbExYRR3tGP41F-_1LaA,,,,,,,,,,,,,,,,,,
